rmse	mae	r	r2	auc	tp	fp	tn	fn	tpr	fpr	error	sens	spec	precision	youden
0.058961209687231286	0.18211782935394086	0.026434018860365737	0.00069875735311017147	0.43427678571428574	0	93	3107	35	0.0	0.0290625	0.03956723338485317	0.0	0.9709375	0.0	-1.0
1.0890545406433021	0.81733635820711104	0.017764058338315201	0.00031556176864706582	0.29581250000000003	0	127	3073	35	0.0	0.0396875	0.05007727975270479	0.0	0.9603125	0.0	-1.0
0.88993460539955038	0.7014488385780514	-0.0057590516720512361	3.3166676161356141e-05	0.29823660714285716	0	209	2991	35	0.0	0.0653125	0.07542503863987635	0.0	0.9346875	0.0	-1.0
0.087196455897318351	0.22379928599690863	0.023875975097661348	0.0005700621868641448	0.3880223214285714	0	17	3183	35	0.0	0.0053125	0.0160741885625966	0.0	0.9946875	0.0	-1.0
0.24989141184912084	0.34649241049150015	0.010703624336121483	0.00011456757392881206	0.3211741071428571	0	177	3023	35	0.0	0.0553125	0.06553323029366306	0.0	0.9446875	0.0	-1.0
0.1204666773741178	0.26338062843894788	0.0014318662525582022	2.050240965215069e-06	0.41152232142857148	0	35	3165	35	0.0	0.0109375	0.021638330757341576	0.0	0.9890625	0.0	-1.0
0.11872154545230522	0.26682929522720261	-0.0093549749546294712	8.7515556401744683e-05	0.47908482142857145	0	15	3185	35	0.0	0.0046875	0.015455950540958269	0.0	0.9953125	0.0	-1.0
0.34912755157797315	0.45804855332302924	0.0019001310186347385	3.610497887977889e-06	0.43987053571428569	0	82	3118	35	0.0	0.025625	0.03616692426584235	0.0	0.974375	0.0	-1.0
0.20499178850204486	0.34845548185471398	0.015282919486494212	0.00023356762803066451	0.25720535714285719	0	153	3047	35	0.0	0.0478125	0.05811437403400309	0.0	0.9521875	0.0	-1.0
0.53224083210681483	0.56834554825347539	0.012481318291360469	0.0001557833062902494	0.38970089285714282	0	59	3141	35	0.0	0.0184375	0.029057187017001544	0.0	0.9815625	0.0	-1.0
0.45943703464858393	0.49759931443585842	-0.0060807148964329375	3.6975093651701429e-05	0.42677232142857147	0	81	3119	35	0.0	0.0253125	0.03585780525502318	0.0	0.9746875	0.0	-1.0
